,0,1,2,3
CARROS,0.6,1.0,5.0,0.12
Camara,0.4,0.5,6.0,0.06666666666666667
Q,0.3113636363636364,0.5564102564102564,6.0,0.0518939393939394
OL,0.0,0.0,6.0,0.0
Aniincio,0.0,0.0,7.0,0.0
Lula,0.43781565656565646,1.5004734848484849,7.0,0.06254509379509378
BRASILEIRAO,0.3181818181818182,0.5,7.0,0.045454545454545456
Globo,0.0827651515151515,1.5614583333333334,9.0,0.009196127946127945
NBA,2.7931818181818184,4.612820512820512,9.0,0.3103535353535354
PF,-0.2,0.8,9.0,-0.022222222222222223
C,0.19999999999999998,0.4666666666666666,11.0,0.01818181818181818
PANDEMIA,-1.0,1.0,12.0,-0.08333333333333333
EUA,2.0,3.6,13.0,0.15384615384615385
ESCOLHA,0.0,0.6,13.0,0.0
SP,2.9363636363636365,1.3545454545454545,13.0,0.2258741258741259
RS,0.9,1.0,14.0,0.0642857142857143
Sao Paulo,2.0513636363636363,3.5745454545454547,14.0,0.14652597402597403
PRODUTOS,0.0,0.0,15.0,0.0
Covaxin,-0.46863636363636363,3.686410256410257,15.0,-0.03124242424242424
â€˜,-0.3617171717171717,2.5674242424242424,17.0,-0.021277480689245395
UOL,-0.3856060606060605,4.07948717948718,27.0,-0.014281705948372612
Bolsonaro,-0.0773737373737376,8.412003690753691,32.0,-0.0024179292929293
R$,7.488149350649351,12.81371336996337,42.0,0.17828927025355598
Brasil,6.361616161616163,15.372668997668995,46.0,0.13829600351339486
PUBLICIDADE,0.0,0.0,50.0,0.0
